8,5,1; 2,1,4; 7,4,6; 3,6,5; - sum = 16; d3 = 0;
8,5,1; 2,1,6; 7,6,4; 3,4,5; - sum = 16; d3 = 0;
8,5,4; 2,4,1; 7,1,6; 3,6,5; - sum = 16; d3 = 0;
8,5,4; 2,4,6; 7,6,1; 3,1,5; - sum = 16; d3 = 0;
8,5,6; 2,6,1; 7,1,4; 3,4,5; - sum = 16; d3 = 0;
8,5,6; 2,6,4; 7,4,1; 3,1,5; - sum = 16; d3 = 0;
8,6,1; 2,1,4; 7,4,5; 3,5,6; - sum = 16; d3 = 0;
8,6,1; 2,1,5; 7,5,4; 3,4,6; - sum = 16; d3 = 0;
8,6,4; 2,4,1; 7,1,5; 3,5,6; - sum = 16; d3 = 0;
8,6,4; 2,4,5; 7,5,1; 3,1,6; - sum = 16; d3 = 0;
8,6,5; 2,5,1; 7,1,4; 3,4,6; - sum = 16; d3 = 0;
8,6,5; 2,5,4; 7,4,1; 3,1,6; - sum = 16; d3 = 0;
8,2,5; 3,5,6; 1,6,7; 4,7,2; - sum = 20; d3 = 0;
8,2,5; 3,5,7; 1,7,6; 4,6,2; - sum = 20; d3 = 0;
8,2,6; 3,6,5; 1,5,7; 4,7,2; - sum = 20; d3 = 0;
8,2,6; 3,6,7; 1,7,5; 4,5,2; - sum = 20; d3 = 0;
8,2,7; 3,7,5; 1,5,6; 4,6,2; - sum = 20; d3 = 0;
8,2,7; 3,7,6; 1,6,5; 4,5,2; - sum = 20; d3 = 0;
8,5,2; 3,2,6; 1,6,7; 4,7,5; - sum = 20; d3 = 0;
8,5,2; 3,2,7; 1,7,6; 4,6,5; - sum = 20; d3 = 0;
8,5,6; 3,6,2; 1,2,7; 4,7,5; - sum = 20; d3 = 0;
8,5,6; 3,6,7; 1,7,2; 4,2,5; - sum = 20; d3 = 0;
8,5,7; 3,7,2; 1,2,6; 4,6,5; - sum = 20; d3 = 0;
8,5,7; 3,7,6; 1,6,2; 4,2,5; - sum = 20; d3 = 0;
8,6,2; 3,2,5; 1,5,7; 4,7,6; - sum = 20; d3 = 0;
8,6,2; 3,2,7; 1,7,5; 4,5,6; - sum = 20; d3 = 0;
8,6,5; 3,5,2; 1,2,7; 4,7,6; - sum = 20; d3 = 0;
8,6,5; 3,5,7; 1,7,2; 4,2,6; - sum = 20; d3 = 0;
8,6,7; 3,7,2; 1,2,5; 4,5,6; - sum = 20; d3 = 0;
8,6,7; 3,7,5; 1,5,2; 4,2,6; - sum = 20; d3 = 0;
8,7,2; 3,2,5; 1,5,6; 4,6,7; - sum = 20; d3 = 0;
8,7,2; 3,2,6; 1,6,5; 4,5,7; - sum = 20; d3 = 0;
8,7,5; 3,5,2; 1,2,6; 4,6,7; - sum = 20; d3 = 0;
8,7,5; 3,5,6; 1,6,2; 4,2,7; - sum = 20; d3 = 0;
8,7,6; 3,6,2; 1,2,5; 4,5,7; - sum = 20; d3 = 0;
8,7,6; 3,6,5; 1,5,2; 4,2,7; - sum = 20; d3 = 0;
8,1,4; 3,4,5; 2,5,6; 7,6,1; - sum = 16; d3 = 0;
8,1,4; 3,4,6; 2,6,5; 7,5,1; + sum = 16; d3 = 0;
8,1,5; 3,5,4; 2,4,6; 7,6,1; - sum = 16; d3 = 0;
8,1,5; 3,5,6; 2,6,4; 7,4,1; - sum = 16; d3 = 0;
8,1,6; 3,6,4; 2,4,5; 7,5,1; - sum = 16; d3 = 0;
8,1,6; 3,6,5; 2,5,4; 7,4,1; - sum = 16; d3 = 0;
8,4,1; 3,1,5; 2,5,6; 7,6,4; - sum = 16; d3 = 0;
8,4,1; 3,1,6; 2,6,5; 7,5,4; - sum = 16; d3 = 0;
8,4,5; 3,5,1; 2,1,6; 7,6,4; - sum = 16; d3 = 0;
8,4,5; 3,5,6; 2,6,1; 7,1,4; - sum = 16; d3 = 0;
8,4,6; 3,6,1; 2,1,5; 7,5,4; - sum = 16; d3 = 0;
8,4,6; 3,6,5; 2,5,1; 7,1,4; - sum = 16; d3 = 0;
8,5,1; 3,1,4; 2,4,6; 7,6,5; - sum = 16; d3 = 0;
8,5,1; 3,1,6; 2,6,4; 7,4,5; - sum = 16; d3 = 0;
8,5,4; 3,4,1; 2,1,6; 7,6,5; - sum = 16; d3 = 0;
8,5,4; 3,4,6; 2,6,1; 7,1,5; - sum = 16; d3 = 0;
8,5,6; 3,6,1; 2,1,4; 7,4,5; - sum = 16; d3 = 0;
8,5,6; 3,6,4; 2,4,1; 7,1,5; - sum = 16; d3 = 0;
8,6,1; 3,1,4; 2,4,5; 7,5,6; - sum = 16; d3 = 0;
8,6,1; 3,1,5; 2,5,4; 7,4,6; - sum = 16; d3 = 0;
8,6,4; 3,4,1; 2,1,5; 7,5,6; - sum = 16; d3 = 0;
8,6,4; 3,4,5; 2,5,1; 7,1,6; - sum = 16; d3 = 0;
8,6,5; 3,5,1; 2,1,4; 7,4,6; - sum = 16; d3 = 0;
8,6,5; 3,5,4; 2,4,1; 7,1,6; - sum = 16; d3 = 0;
8,2,5; 3,5,6; 4,6,7; 1,7,2; - sum = 20; d3 = 0;
8,2,5; 3,5,7; 4,7,6; 1,6,2; - sum = 20; d3 = 0;
8,2,6; 3,6,5; 4,5,7; 1,7,2; - sum = 20; d3 = 0;
8,2,6; 3,6,7; 4,7,5; 1,5,2; - sum = 20; d3 = 0;
8,2,7; 3,7,5; 4,5,6; 1,6,2; - sum = 20; d3 = 0;
8,2,7; 3,7,6; 4,6,5; 1,5,2; - sum = 20; d3 = 0;
8,5,2; 3,2,6; 4,6,7; 1,7,5; - sum = 20; d3 = 0;
8,5,2; 3,2,7; 4,7,6; 1,6,5; - sum = 20; d3 = 0;
8,5,6; 3,6,2; 4,2,7; 1,7,5; - sum = 20; d3 = 0;
8,5,6; 3,6,7; 4,7,2; 1,2,5; - sum = 20; d3 = 0;
8,5,7; 3,7,2; 4,2,6; 1,6,5; - sum = 20; d3 = 0;
8,5,7; 3,7,6; 4,6,2; 1,2,5; - sum = 20; d3 = 0;
8,6,2; 3,2,5; 4,5,7; 1,7,6; - sum = 20; d3 = 0;
8,6,2; 3,2,7; 4,7,5; 1,5,6; - sum = 20; d3 = 0;
8,6,5; 3,5,2; 4,2,7; 1,7,6; - sum = 20; d3 = 0;
8,6,5; 3,5,7; 4,7,2; 1,2,6; - sum = 20; d3 = 0;
8,6,7; 3,7,2; 4,2,5; 1,5,6; - sum = 20; d3 = 0;
8,6,7; 3,7,5; 4,5,2; 1,2,6; - sum = 20; d3 = 0;
8,7,2; 3,2,5; 4,5,6; 1,6,7; - sum = 20; d3 = 0;
8,7,2; 3,2,6; 4,6,5; 1,5,7; - sum = 20; d3 = 0;
8,7,5; 3,5,2; 4,2,6; 1,6,7; - sum = 20; d3 = 0;
8,7,5; 3,5,6; 4,6,2; 1,2,7; - sum = 20; d3 = 0;
8,7,6; 3,6,2; 4,2,5; 1,5,7; - sum = 20; d3 = 0;
8,7,6; 3,6,5; 4,5,2; 1,2,7; - sum = 20; d3 = 0;
8,1,2; 3,2,6; 4,6,7; 5,7,1; - sum = 16; d3 = 0;
8,1,2; 3,2,7; 4,7,6; 5,6,1; - sum = 16; d3 = 0;
8,1,6; 3,6,2; 4,2,7; 5,7,1; - sum = 16; d3 = 0;
8,1,6; 3,6,7; 4,7,2; 5,2,1; - sum = 16; d3 = 0;
8,1,7; 3,7,2; 4,2,6; 5,6,1; - sum = 16; d3 = 0;
8,1,7; 3,7,6; 4,6,2; 5,2,1; - sum = 16; d3 = 0;
8,2,1; 3,1,6; 4,6,7; 5,7,2; - sum = 16; d3 = 0;
8,2,1; 3,1,7; 4,7,6; 5,6,2; - sum = 16; d3 = 0;
8,2,6; 3,6,1; 4,1,7; 5,7,2; - sum = 16; d3 = 0;
8,2,6; 3,6,7; 4,7,1; 5,1,2; - sum = 16; d3 = 0;
8,2,7; 3,7,1; 4,1,6; 5,6,2; - sum = 16; d3 = 0;
8,2,7; 3,7,6; 4,6,1; 5,1,2; - sum = 16; d3 = 0;
8,6,1; 3,1,2; 4,2,7; 5,7,6; - sum = 16; d3 = 0;
8,6,1; 3,1,7; 4,7,2; 5,2,6; - sum = 16; d3 = 0;
8,6,2; 3,2,1; 4,1,7; 5,7,6; - sum = 16; d3 = 0;
8,6,2; 3,2,7; 4,7,1; 5,1,6; - sum = 16; d3 = 0;
8,6,7; 3,7,1; 4,1,2; 5,2,6; - sum = 16; d3 = 0;
8,6,7; 3,7,2; 4,2,1; 5,1,6; - sum = 16; d3 = 0;
8,7,1; 3,1,2; 4,2,6; 5,6,7; - sum = 16; d3 = 0;
8,7,1; 3,1,6; 4,6,2; 5,2,7; - sum = 16; d3 = 0;
8,7,2; 3,2,1; 4,1,6; 5,6,7; - sum = 16; d3 = 0;
8,7,2; 3,2,6; 4,6,1; 5,1,7; - sum = 16; d3 = 0;
8,7,6; 3,6,1; 4,1,2; 5,2,7; - sum = 16; d3 = 0;
8,7,6; 3,6,2; 4,2,1; 5,1,7; - sum = 16; d3 = 0;
8,1,2; 3,2,6; 5,6,7; 4,7,1; - sum = 16; d3 = 0;
8,1,2; 3,2,7; 5,7,6; 4,6,1; - sum = 16; d3 = 0;
8,1,6; 3,6,2; 5,2,7; 4,7,1; - sum = 16; d3 = 0;
8,1,6; 3,6,7; 5,7,2; 4,2,1; - sum = 16; d3 = 0;
8,1,7; 3,7,2; 5,2,6; 4,6,1; - sum = 16; d3 = 0;
8,1,7; 3,7,6; 5,6,2; 4,2,1; - sum = 16; d3 = 0;
8,2,1; 3,1,6; 5,6,7; 4,7,2; - sum = 16; d3 = 0;
8,2,1; 3,1,7; 5,7,6; 4,6,2; - sum = 16; d3 = 0;
8,2,6; 3,6,1; 5,1,7; 4,7,2; - sum = 16; d3 = 0;
8,2,6; 3,6,7; 5,7,1; 4,1,2; - sum = 16; d3 = 0;
8,2,7; 3,7,1; 5,1,6; 4,6,2; - sum = 16; d3 = 0;
8,2,7; 3,7,6; 5,6,1; 4,1,2; - sum = 16; d3 = 0;
8,6,1; 3,1,2; 5,2,7; 4,7,6; - sum = 16; d3 = 0;
8,6,1; 3,1,7; 5,7,2; 4,2,6; - sum = 16; d3 = 0;
8,6,2; 3,2,1; 5,1,7; 4,7,6; - sum = 16; d3 = 0;
8,6,2; 3,2,7; 5,7,1; 4,1,6; - sum = 16; d3 = 0;
8,6,7; 3,7,1; 5,1,2; 4,2,6; - sum = 16; d3 = 0;
8,6,7; 3,7,2; 5,2,1; 4,1,6; - sum = 16; d3 = 0;
8,7,1; 3,1,2; 5,2,6; 4,6,7; - sum = 16; d3 = 0;
8,7,1; 3,1,6; 5,6,2; 4,2,7; - sum = 16; d3 = 0;
8,7,2; 3,2,1; 5,1,6; 4,6,7; - sum = 16; d3 = 0;
8,7,2; 3,2,6; 5,6,1; 4,1,7; - sum = 16; d3 = 0;
8,7,6; 3,6,1; 5,1,2; 4,2,7; - sum = 16; d3 = 0;
8,7,6; 3,6,2; 5,2,1; 4,1,7; - sum = 16; d3 = 0;
8,1,2; 3,2,4; 6,4,5; 7,5,1; - sum = 12; d3 = 0;
8,1,2; 3,2,5; 6,5,4; 7,4,1; - sum = 12; d3 = 0;
8,1,4; 3,4,2; 6,2,5; 7,5,1; - sum = 12; d3 = 0;
8,1,4; 3,4,5; 6,5,2; 7,2,1; - sum = 12; d3 = 0;
8,1,5; 3,5,2; 6,2,4; 7,4,1; - sum = 12; d3 = 0;
8,1,5; 3,5,4; 6,4,2; 7,2,1; - sum = 12; d3 = 0;
8,2,1; 3,1,4; 6,4,5; 7,5,2; - sum = 12; d3 = 0;
8,2,1; 3,1,5; 6,5,4; 7,4,2; - sum = 12; d3 = 0;
8,2,4; 3,4,1; 6,1,5; 7,5,2; - sum = 12; d3 = 0;
8,2,4; 3,4,5; 6,5,1; 7,1,2; - sum = 12; d3 = 0;
8,2,5; 3,5,1; 6,1,4; 7,4,2; - sum = 12; d3 = 0;
8,2,5; 3,5,4; 6,4,1; 7,1,2; - sum = 12; d3 = 0;
8,4,1; 3,1,2; 6,2,5; 7,5,4; - sum = 12; d3 = 0;
8,4,1; 3,1,5; 6,5,2; 7,2,4; - sum = 12; d3 = 0;
8,4,2; 3,2,1; 6,1,5; 7,5,4; - sum = 12; d3 = 0;
8,4,2; 3,2,5; 6,5,1; 7,1,4; - sum = 12; d3 = 0;
8,4,5; 3,5,1; 6,1,2; 7,2,4; - sum = 12; d3 = 0;
8,4,5; 3,5,2; 6,2,1; 7,1,4; - sum = 12; d3 = 0;
8,5,1; 3,1,2; 6,2,4; 7,4,5; - sum = 12; d3 = 0;
8,5,1; 3,1,4; 6,4,2; 7,2,5; - sum = 12; d3 = 0;
8,5,2; 3,2,1; 6,1,4; 7,4,5; - sum = 12; d3 = 0;
8,5,2; 3,2,4; 6,4,1; 7,1,5; - sum = 12; d3 = 0;
8,5,4; 3,4,1; 6,1,2; 7,2,5; - sum = 12; d3 = 0;
8,5,4; 3,4,2; 6,2,1; 7,1,5; - sum = 12; d3 = 0;
8,1,4; 3,4,5; 7,5,6; 2,6,1; - sum = 16; d3 = 0;
8,1,4; 3,4,6; 7,6,5; 2,5,1; - sum = 16; d3 = 0;
8,1,5; 3,5,4; 7,4,6; 2,6,1; - sum = 16; d3 = 0;
8,1,5; 3,5,6; 7,6,4; 2,4,1; - sum = 16; d3 = 0;
8,1,6; 3,6,4; 7,4,5; 2,5,1; - sum = 16; d3 = 0;
8,1,6; 3,6,5; 7,5,4; 2,4,1; - sum = 16; d3 = 0;
8,4,1; 3,1,5; 7,5,6; 2,6,4; - sum = 16; d3 = 0;
8,4,1; 3,1,6; 7,6,5; 2,5,4; - sum = 16; d3 = 0;
8,4,5; 3,5,1; 7,1,6; 2,6,4; - sum = 16; d3 = 0;
8,4,5; 3,5,6; 7,6,1; 2,1,4; - sum = 16; d3 = 0;
8,4,6; 3,6,1; 7,1,5; 2,5,4; - sum = 16; d3 = 0;
8,4,6; 3,6,5; 7,5,1; 2,1,4; - sum = 16; d3 = 0;
8,5,1; 3,1,4; 7,4,6; 2,6,5; - sum = 16; d3 = 0;
8,5,1; 3,1,6; 7,6,4; 2,4,5; - sum = 16; d3 = 0;
8,5,4; 3,4,1; 7,1,6; 2,6,5; - sum = 16; d3 = 0;
8,5,4; 3,4,6; 7,6,1; 2,1,5; - sum = 16; d3 = 0;
8,5,6; 3,6,1; 7,1,4; 2,4,5; - sum = 16; d3 = 0;
8,5,6; 3,6,4; 7,4,1; 2,1,5; - sum = 16; d3 = 0;
8,6,1; 3,1,4; 7,4,5; 2,5,6; - sum = 16; d3 = 0;
8,6,1; 3,1,5; 7,5,4; 2,4,6; - sum = 16; d3 = 0;
8,6,4; 3,4,1; 7,1,5; 2,5,6; - sum = 16; d3 = 0;
8,6,4; 3,4,5; 7,5,1; 2,1,6; - sum = 16; d3 = 0;
8,6,5; 3,5,1; 7,1,4; 2,4,6; - sum = 16; d3 = 0;
8,6,5; 3,5,4; 7,4,1; 2,1,6; - sum = 16; d3 = 0;
8,1,2; 3,2,4; 7,4,5; 6,5,1; - sum = 12; d3 = 0;
8,1,2; 3,2,5; 7,5,4; 6,4,1; - sum = 12; d3 = 0;
8,1,4; 3,4,2; 7,2,5; 6,5,1; - sum = 12; d3 = 0;
8,1,4; 3,4,5; 7,5,2; 6,2,1; - sum = 12; d3 = 0;
8,1,5; 3,5,2; 7,2,4; 6,4,1; - sum = 12; d3 = 0;
8,1,5; 3,5,4; 7,4,2; 6,2,1; - sum = 12; d3 = 0;
8,2,1; 3,1,4; 7,4,5; 6,5,2; - sum = 12; d3 = 0;
8,2,1; 3,1,5; 7,5,4; 6,4,2; - sum = 12; d3 = 0;
8,2,4; 3,4,1; 7,1,5; 6,5,2; - sum = 12; d3 = 0;
8,2,4; 3,4,5; 7,5,1; 6,1,2; - sum = 12; d3 = 0;
8,2,5; 3,5,1; 7,1,4; 6,4,2; - sum = 12; d3 = 0;
8,2,5; 3,5,4; 7,4,1; 6,1,2; - sum = 12; d3 = 0;
8,4,1; 3,1,2; 7,2,5; 6,5,4; - sum = 12; d3 = 0;
8,4,1; 3,1,5; 7,5,2; 6,2,4; - sum = 12; d3 = 0;
8,4,2; 3,2,1; 7,1,5; 6,5,4; - sum = 12; d3 = 0;
8,4,2; 3,2,5; 7,5,1; 6,1,4; - sum = 12; d3 = 0;
8,4,5; 3,5,1; 7,1,2; 6,2,4; - sum = 12; d3 = 0;
8,4,5; 3,5,2; 7,2,1; 6,1,4; - sum = 12; d3 = 0;
8,5,1; 3,1,2; 7,2,4; 6,4,5; - sum = 12; d3 = 0;
8,5,1; 3,1,4; 7,4,2; 6,2,5; - sum = 12; d3 = 0;
8,5,2; 3,2,1; 7,1,4; 6,4,5; - sum = 12; d3 = 0;
8,5,2; 3,2,4; 7,4,1; 6,1,5; - sum = 12; d3 = 0;
8,5,4; 3,4,1; 7,1,2; 6,2,5; - sum = 12; d3 = 0;
8,5,4; 3,4,2; 7,2,1; 6,1,5; - sum = 12; d3 = 0;
8,2,5; 4,5,6; 1,6,7; 3,7,2; - sum = 20; d3 = 0;
8,2,5; 4,5,7; 1,7,6; 3,6,2; - sum = 20; d3 = 0;
8,2,6; 4,6,5; 1,5,7; 3,7,2; - sum = 20; d3 = 0;
8,2,6; 4,6,7; 1,7,5; 3,5,2; - sum = 20; d3 = 0;
8,2,7; 4,7,5; 1,5,6; 3,6,2; - sum = 20; d3 = 0;
8,2,7; 4,7,6; 1,6,5; 3,5,2; - sum = 20; d3 = 0;
8,5,2; 4,2,6; 1,6,7; 3,7,5; - sum = 20; d3 = 0;
8,5,2; 4,2,7; 1,7,6; 3,6,5; - sum = 20; d3 = 0;
8,5,6; 4,6,2; 1,2,7; 3,7,5; - sum = 20; d3 = 0;
8,5,6; 4,6,7; 1,7,2; 3,2,5; - sum = 20; d3 = 0;
8,5,7; 4,7,2; 1,2,6; 3,6,5; - sum = 20; d3 = 0;
8,5,7; 4,7,6; 1,6,2; 3,2,5; - sum = 20; d3 = 0;
8,6,2; 4,2,5; 1,5,7; 3,7,6; - sum = 20; d3 = 0;
8,6,2; 4,2,7; 1,7,5; 3,5,6; - sum = 20; d3 = 0;
8,6,5; 4,5,2; 1,2,7; 3,7,6; - sum = 20; d3 = 0;
8,6,5; 4,5,7; 1,7,2; 3,2,6; - sum = 20; d3 = 0;
8,6,7; 4,7,2; 1,2,5; 3,5,6; - sum = 20; d3 = 0;
8,6,7; 4,7,5; 1,5,2; 3,2,6; - sum = 20; d3 = 0;
8,7,2; 4,2,5; 1,5,6; 3,6,7; - sum = 20; d3 = 0;
8,7,2; 4,2,6; 1,6,5; 3,5,7; - sum = 20; d3 = 0;
8,7,5; 4,5,2; 1,2,6; 3,6,7; - sum = 20; d3 = 0;
8,7,5; 4,5,6; 1,6,2; 3,2,7; - sum = 20; d3 = 0;
8,7,6; 4,6,2; 1,2,5; 3,5,7; - sum = 20; d3 = 0;
8,7,6; 4,6,5; 1,5,2; 3,2,7; - sum = 20; d3 = 0;
8,2,3; 4,3,5; 1,5,6; 7,6,2; - sum = 16; d3 = 0;
8,2,3; 4,3,6; 1,6,5; 7,5,2; - sum = 16; d3 = 0;
8,2,5; 4,5,3; 1,3,6; 7,6,2; - sum = 16; d3 = 0;
8,2,5; 4,5,6; 1,6,3; 7,3,2; - sum = 16; d3 = 0;
8,2,6; 4,6,3; 1,3,5; 7,5,2; - sum = 16; d3 = 0;
8,2,6; 4,6,5; 1,5,3; 7,3,2; - sum = 16; d3 = 0;
8,3,2; 4,2,5; 1,5,6; 7,6,3; - sum = 16; d3 = 0;
8,3,2; 4,2,6; 1,6,5; 7,5,3; - sum = 16; d3 = 0;
8,3,5; 4,5,2; 1,2,6; 7,6,3; - sum = 16; d3 = 0;
8,3,5; 4,5,6; 1,6,2; 7,2,3; - sum = 16; d3 = 0;
8,3,6; 4,6,2; 1,2,5; 7,5,3; - sum = 16; d3 = 0;
8,3,6; 4,6,5; 1,5,2; 7,2,3; - sum = 16; d3 = 0;
8,5,2; 4,2,3; 1,3,6; 7,6,5; - sum = 16; d3 = 0;
8,5,2; 4,2,6; 1,6,3; 7,3,5; - sum = 16; d3 = 0;
8,5,3; 4,3,2; 1,2,6; 7,6,5; - sum = 16; d3 = 0;
8,5,3; 4,3,6; 1,6,2; 7,2,5; - sum = 16; d3 = 0;
8,5,6; 4,6,2; 1,2,3; 7,3,5; - sum = 16; d3 = 0;
8,5,6; 4,6,3; 1,3,2; 7,2,5; - sum = 16; d3 = 0;
8,6,2; 4,2,3; 1,3,5; 7,5,6; - sum = 16; d3 = 0;
8,6,2; 4,2,5; 1,5,3; 7,3,6; - sum = 16; d3 = 0;
8,6,3; 4,3,2; 1,2,5; 7,5,6; - sum = 16; d3 = 0;
8,6,3; 4,3,5; 1,5,2; 7,2,6; - sum = 16; d3 = 0;
8,6,5; 4,5,2; 1,2,3; 7,3,6; - sum = 16; d3 = 0;
8,6,5; 4,5,3; 1,3,2; 7,2,6; - sum = 16; d3 = 0;
8,1,3; 4,3,5; 2,5,7; 6,7,1; - sum = 16; d3 = 0;
8,1,3; 4,3,7; 2,7,5; 6,5,1; - sum = 16; d3 = 0;
8,1,5; 4,5,3; 2,3,7; 6,7,1; - sum = 16; d3 = 0;
8,1,5; 4,5,7; 2,7,3; 6,3,1; - sum = 16; d3 = 0;
8,1,7; 4,7,3; 2,3,5; 6,5,1; - sum = 16; d3 = 0;
8,1,7; 4,7,5; 2,5,3; 6,3,1; - sum = 16; d3 = 0;
8,3,1; 4,1,5; 2,5,7; 6,7,3; - sum = 16; d3 = 0;
8,3,1; 4,1,7; 2,7,5; 6,5,3; - sum = 16; d3 = 0;
8,3,5; 4,5,1; 2,1,7; 6,7,3; - sum = 16; d3 = 0;
8,3,5; 4,5,7; 2,7,1; 6,1,3; - sum = 16; d3 = 0;
8,3,7; 4,7,1; 2,1,5; 6,5,3; - sum = 16; d3 = 0;
8,3,7; 4,7,5; 2,5,1; 6,1,3; - sum = 16; d3 = 0;
8,5,1; 4,1,3; 2,3,7; 6,7,5; - sum = 16; d3 = 0;
8,5,1; 4,1,7; 2,7,3; 6,3,5; - sum = 16; d3 = 0;
8,5,3; 4,3,1; 2,1,7; 6,7,5; - sum = 16; d3 = 0;
8,5,3; 4,3,7; 2,7,1; 6,1,5; - sum = 16; d3 = 0;
8,5,7; 4,7,1; 2,1,3; 6,3,5; - sum = 16; d3 = 0;
8,5,7; 4,7,3; 2,3,1; 6,1,5; - sum = 16; d3 = 0;
8,7,1; 4,1,3; 2,3,5; 6,5,7; - sum = 16; d3 = 0;
8,7,1; 4,1,5; 2,5,3; 6,3,7; - sum = 16; d3 = 0;
8,7,3; 4,3,1; 2,1,5; 6,5,7; - sum = 16; d3 = 0;
8,7,3; 4,3,5; 2,5,1; 6,1,7; - sum = 16; d3 = 0;
8,7,5; 4,5,1; 2,1,3; 6,3,7; - sum = 16; d3 = 0;
8,7,5; 4,5,3; 2,3,1; 6,1,7; - sum = 16; d3 = 0;
8,2,5; 4,5,6; 3,6,7; 1,7,2; - sum = 20; d3 = 0;
8,2,5; 4,5,7; 3,7,6; 1,6,2; - sum = 20; d3 = 0;
8,2,6; 4,6,5; 3,5,7; 1,7,2; - sum = 20; d3 = 0;
8,2,6; 4,6,7; 3,7,5; 1,5,2; - sum = 20; d3 = 0;
8,2,7; 4,7,5; 3,5,6; 1,6,2; - sum = 20; d3 = 0;
8,2,7; 4,7,6; 3,6,5; 1,5,2; - sum = 20; d3 = 0;
8,5,2; 4,2,6; 3,6,7; 1,7,5; - sum = 20; d3 = 0;
8,5,2; 4,2,7; 3,7,6; 1,6,5; - sum = 20; d3 = 0;
8,5,6; 4,6,2; 3,2,7; 1,7,5; - sum = 20; d3 = 0;
8,5,6; 4,6,7; 3,7,2; 1,2,5; - sum = 20; d3 = 0;
8,5,7; 4,7,2; 3,2,6; 1,6,5; - sum = 20; d3 = 0;
8,5,7; 4,7,6; 3,6,2; 1,2,5; - sum = 20; d3 = 0;
8,6,2; 4,2,5; 3,5,7; 1,7,6; - sum = 20; d3 = 0;
8,6,2; 4,2,7; 3,7,5; 1,5,6; - sum = 20; d3 = 0;
8,6,5; 4,5,2; 3,2,7; 1,7,6; - sum = 20; d3 = 0;
8,6,5; 4,5,7; 3,7,2; 1,2,6; - sum = 20; d3 = 0;
8,6,7; 4,7,2; 3,2,5; 1,5,6; - sum = 20; d3 = 0;
8,6,7; 4,7,5; 3,5,2; 1,2,6; - sum = 20; d3 = 0;
8,7,2; 4,2,5; 3,5,6; 1,6,7; - sum = 20; d3 = 0;
8,7,2; 4,2,6; 3,6,5; 1,5,7; - sum = 20; d3 = 0;
8,7,5; 4,5,2; 3,2,6; 1,6,7; - sum = 20; d3 = 0;
8,7,5; 4,5,6; 3,6,2; 1,2,7; - sum = 20; d3 = 0;
8,7,6; 4,6,2; 3,2,5; 1,5,7; - sum = 20; d3 = 0;
8,7,6; 4,6,5; 3,5,2; 1,2,7; - sum = 20; d3 = 0;
8,1,2; 4,2,6; 3,6,7; 5,7,1; - sum = 16; d3 = 0;
8,1,2; 4,2,7; 3,7,6; 5,6,1; - sum = 16; d3 = 0;
8,1,6; 4,6,2; 3,2,7; 5,7,1; - sum = 16; d3 = 0;
8,1,6; 4,6,7; 3,7,2; 5,2,1; - sum = 16; d3 = 0;
8,1,7; 4,7,2; 3,2,6; 5,6,1; - sum = 16; d3 = 0;
8,1,7; 4,7,6; 3,6,2; 5,2,1; - sum = 16; d3 = 0;
8,2,1; 4,1,6; 3,6,7; 5,7,2; - sum = 16; d3 = 0;
8,2,1; 4,1,7; 3,7,6; 5,6,2; - sum = 16; d3 = 0;
8,2,6; 4,6,1; 3,1,7; 5,7,2; - sum = 16; d3 = 0;
8,2,6; 4,6,7; 3,7,1; 5,1,2; - sum = 16; d3 = 0;
8,2,7; 4,7,1; 3,1,6; 5,6,2; - sum = 16; d3 = 0;
8,2,7; 4,7,6; 3,6,1; 5,1,2; - sum = 16; d3 = 0;
8,6,1; 4,1,2; 3,2,7; 5,7,6; - sum = 16; d3 = 0;
8,6,1; 4,1,7; 3,7,2; 5,2,6; - sum = 16; d3 = 0;
8,6,2; 4,2,1; 3,1,7; 5,7,6; - sum = 16; d3 = 0;
8,6,2; 4,2,7; 3,7,1; 5,1,6; - sum = 16; d3 = 0;
8,6,7; 4,7,1; 3,1,2; 5,2,6; - sum = 16; d3 = 0;
8,6,7; 4,7,2; 3,2,1; 5,1,6; - sum = 16; d3 = 0;
8,7,1; 4,1,2; 3,2,6; 5,6,7; - sum = 16; d3 = 0;
8,7,1; 4,1,6; 3,6,2; 5,2,7; - sum = 16; d3 = 0;
8,7,2; 4,2,1; 3,1,6; 5,6,7; - sum = 16; d3 = 0;
8,7,2; 4,2,6; 3,6,1; 5,1,7; - sum = 16; d3 = 0;
8,7,6; 4,6,1; 3,1,2; 5,2,7; - sum = 16; d3 = 0;
8,7,6; 4,6,2; 3,2,1; 5,1,7; - sum = 16; d3 = 0;
8,1,2; 4,2,6; 5,6,7; 3,7,1; - sum = 16; d3 = 0;
8,1,2; 4,2,7; 5,7,6; 3,6,1; - sum = 16; d3 = 0;
8,1,6; 4,6,2; 5,2,7; 3,7,1; - sum = 16; d3 = 0;
8,1,6; 4,6,7; 5,7,2; 3,2,1; - sum = 16; d3 = 0;
8,1,7; 4,7,2; 5,2,6; 3,6,1; - sum = 16; d3 = 0;
8,1,7; 4,7,6; 5,6,2; 3,2,1; - sum = 16; d3 = 0;
8,2,1; 4,1,6; 5,6,7; 3,7,2; - sum = 16; d3 = 0;
8,2,1; 4,1,7; 5,7,6; 3,6,2; - sum = 16; d3 = 0;
8,2,6; 4,6,1; 5,1,7; 3,7,2; - sum = 16; d3 = 0;
